rock_name,Ap,Ap?,ApB,ApT,ApW,Br,BrA,BrF,BrM,No,NoC,NoH,Or,Or?,OrF,OrR,OrS,Ph,PhI,PhL,PhS,Sp,SpS,SpT,Tr,Tr?,TrA,TrC,TrP,TrS,U,Va,Va?,Va1,Va2,Va3,Va4,Va6
6.15.21-CSD-2,0,0,1,2,1,0,1,0,2,1,0,2,0,1,5,4,0,0,0,1,0,0,0,0,1,0,1,0,4,0,1,1,0,0,0,0,0,0
6.15.21-CSD-2 +  6.28.2021-CSD-18,4,0,0,1,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,6,0,0,0,0,3,0,0,1,0,0,1,0,0,0,2,0,0,0
"6.16,17.21-CSA-1",9,1,27,21,4,1,1,1,0,1,2,0,0,0,3,7,5,2,0,1,0,0,0,5,7,0,2,0,1,1,5,4,0,1,3,0,0,0
6.16.21-CSC-2,0,0,0,5,0,0,1,0,0,0,1,1,0,0,0,11,4,0,0,2,0,0,0,0,6,0,2,0,3,0,0,1,0,2,0,0,0,0
6.16.21-CSC-4,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,16,2,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,1,3,2,0,0,1
6.16.21-CSJ-2,0,0,0,0,0,2,1,4,0,2,1,0,3,0,0,16,0,1,2,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
6.17.2021-CSD-4,1,0,1,2,0,0,0,10,2,0,0,1,1,0,2,1,0,1,0,3,0,0,0,0,2,0,0,1,1,0,0,0,0,0,3,0,1,0
6.17.21-CSA-1,4,0,2,5,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,3,1,0,2,0,1,0,3,5,0,0,0,3,1,0
6.17.21-CSA-3,0,0,2,2,0,0,0,1,0,2,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
6.27.22-CSD-3,11,0,5,13,4,1,1,1,7,1,8,3,1,0,15,15,0,1,0,7,0,1,0,6,3,0,4,0,3,0,3,4,0,0,2,2,0,0
6.28.2021-CSD-15,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,2,0,0,0,0,0,0
6.28.2021-CSD-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0
6.28.2021-CSD-17,2,0,9,9,3,0,0,0,0,0,0,0,1,0,0,21,2,0,0,2,0,0,2,2,1,0,0,2,0,0,1,0,1,4,7,0,0,0
6.28.2021-CSD-21,1,0,5,5,1,0,3,1,0,1,3,4,1,0,20,12,1,0,0,1,0,1,0,0,1,1,3,0,6,0,7,7,0,1,3,5,0,0
6.28.2021-CSD-23,0,0,1,3,0,0,0,0,1,0,1,2,1,0,2,1,0,0,0,1,0,0,1,2,2,0,0,0,0,0,4,1,0,1,0,0,0,0
6.28.2021-CSD-9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
6.28.21-CSC-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.28.22-CSD-1,13,1,42,25,14,0,0,1,0,0,1,1,1,0,3,15,0,0,0,7,0,2,3,8,3,0,0,3,0,0,7,0,0,1,1,1,9,0
6.29.22-CSD-10,5,0,3,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,1,3,0
6.29.22-CSD-4,0,0,0,0,0,0,0,20,1,0,0,0,1,0,1,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0
7.2.2021-CSA-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7.5.21-CSJ-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CLST_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
CLST_10,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0
CLST_L10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLST_L11,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLST_L13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
CLST_L14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLST_L2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CLST_L3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLST_L4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLST_L8,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLST_L9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Susan2010to2012,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
